dataset,min_silence_len,silence_thresh,N_words,precision,recall,f1,MAE,RMSE,R2
asr_calls_2_val,50,-22,3,1,0.8665637065637065,0.9285123283137515,1.832818532818533,2.644072557839458,0
asr_calls_2_val,50,-21,3,1,0.8643243243243244,0.927225282690635,1.826486486486486,2.628753980567122,0
asr_calls_2_val,50,-20,3,1,0.8628571428571429,0.9263803680981595,1.827490347490347,2.642129713100668,0
asr_calls_2_val,50,-23,3,1,0.8627027027027027,0.926291352292513,1.851042471042471,2.674706349125835,0
asr_calls_2_val,50,-19,3,1,0.8602316602316602,0.9248650892486509,1.856525096525097,2.668853672043472,0
asr_calls_2_val,50,-24,3,1,0.8593050193050193,0.9243292632278429,1.874285714285714,2.710454520290593,0
asr_calls_2_val,50,-25,3,1,0.8551351351351352,0.9219114219114218,1.898841698841699,2.760560627969431,0
asr_calls_2_val,50,-18,3,1,0.8550579150579151,0.9218665445614619,1.897297297297297,2.727834503975834,0
asr_calls_2_val,50,-26,3,1,0.8498841698841699,0.9188512272499583,1.940772200772201,2.828195053154442,0
asr_calls_2_val,50,-17,3,1,0.8491119691119691,0.9183997327319803,1.946795366795367,2.819499120335967,0
asr_calls_2_val,50,-16,3,1,0.8390733590733591,0.9124958011420894,2.008725868725869,2.944519154326059,0
asr_calls_2_val,50,-27,3,1,0.8389189189189189,0.9124044679600236,1.995907335907336,2.925127459850366,0
asr_calls_2_val,50,-28,3,1,0.8281081081081081,0.905972797161443,2.066023166023166,3.034919041874691,0
asr_calls_2_val,100,-19,3,1,0.821003861003861,0.9017046900178102,2.107181467181467,3.153082698238424,0
asr_calls_2_val,50,-15,3,1,0.8203088803088803,0.9012853688541975,2.125328185328185,3.152115181244194,0
asr_calls_2_val,50,-29,3,1,0.8192277992277992,0.9006324546882295,2.139305019305019,3.172371072863045,0
asr_calls_2_val,100,-20,3,1,0.8171428571428572,0.89937106918239,2.118996138996139,3.16382789509906,0
asr_calls_2_val,100,-18,3,1,0.813976833976834,0.8974500872674641,2.157683397683398,3.249045003734703,0
asr_calls_2_val,100,-21,3,1,0.8118146718146718,0.8961343391723138,2.162393822393823,3.225322108364171,0
asr_calls_2_val,50,-30,3,1,0.8071814671814672,0.8933042772294151,2.228803088803089,3.345359258947919,0
asr_calls_2_val,100,-17,3,1,0.805019305019305,0.8919786096256683,2.232818532818533,3.389980694925727,0
asr_calls_2_val,100,-22,3,1,0.8025482625482625,0.890459666709506,2.223166023166023,3.307158492920667,0
asr_calls_2_val,50,-31,3,1,0.7918918918918919,0.8838612368024132,2.338532818532819,3.525023617763646,0
asr_calls_2_val,100,-23,3,1,0.7898069498069498,0.8825610492708603,2.322316602316602,3.442343639111257,0
asr_calls_2_val,100,-16,3,1,0.7857915057915058,0.8800484303381476,2.384401544401544,3.646651820241343,0
asr_calls_2_val,100,-24,3,1,0.7741312741312741,0.8726877040261153,2.427027027027027,3.600664889265265,0
asr_calls_2_val,50,-32,3,1,0.7735907335907336,0.8723441309648207,2.452895752895753,3.689084389024413,0
asr_calls_2_val,50,-33,3,1,0.76,0.8636363636363636,2.567413127413127,3.855197564658427,0
asr_calls_2_val,100,-25,3,1,0.7576061776061777,0.862088660427925,2.551583011583011,3.769876538027354,0
asr_calls_2_val,50,-20,2,1,0.7565250965250965,0.8613883149426298,1.827490347490347,2.642129713100668,0
asr_calls_2_val,100,-15,3,1,0.7564478764478765,0.8613382572760045,2.60996138996139,3.986337671458356,0
asr_calls_2_val,50,-21,2,1,0.7559073359073359,0.8609877303311492,1.826486486486486,2.628753980567122,0
asr_calls_2_val,50,-22,2,1,0.7546718146718147,0.860185714914404,1.832818532818533,2.644072557839458,0
asr_calls_2_val,50,-19,2,1,0.7522007722007722,0.8585782909523599,1.856525096525097,2.668853672043472,0
asr_calls_2_val,50,-23,2,1,0.7508108108108108,0.8576721210250077,1.851042471042471,2.674706349125835,0
asr_calls_2_val,50,-24,2,1,0.7467953667953668,0.8550461960125547,1.874285714285714,2.710454520290593,0
asr_calls_2_val,50,-18,2,1,0.7440926640926641,0.853271938368901,1.897297297297297,2.727834503975834,0
asr_calls_2_val,50,-34,3,1,0.7433204633204633,0.8527639971651311,2.694131274131274,4.02857553602025,0
asr_calls_2_val,50,-25,2,1,0.742007722007722,0.8518994636287069,1.898841698841699,2.760560627969431,0
asr_calls_2_val,100,-26,3,1,0.7413899613899614,0.8514921732960845,2.672432432432432,3.938955038505364,0
asr_calls_2_val,50,-17,2,1,0.7372200772200772,0.8487353869404809,1.946795366795367,2.819499120335967,0
asr_calls_2_val,50,-26,2,1,0.7363706563706564,0.8481721960330871,1.940772200772201,2.828195053154442,0
asr_calls_2_val,50,-27,2,1,0.7275675675675676,0.8423028785982477,1.995907335907336,2.925127459850366,0
asr_calls_2_val,50,-16,2,1,0.7255598455598455,0.8409558757719502,2.008725868725869,2.944519154326059,0
asr_calls_2_val,50,-35,3,1,0.7241698841698841,0.8400214976710856,2.830501930501931,4.212822859778992,0
asr_calls_2_val,100,-27,3,1,0.7212355212355213,0.8380439659039929,2.811351351351351,4.114659732034316,0
asr_calls_2_val,50,-28,2,1,0.7157528957528958,0.8343309779918089,2.066023166023166,3.034919041874691,0
